created_at,entry_id,field1,field2,latitude,longitude,elevation,status
2021-08-19 03:19:10 +08,181,26.64,81.34,,,,
2021-08-19 03:20:12 +08,182,26.65,81.27,,,,
2021-08-19 03:21:14 +08,183,26.65,81.23,,,,
2021-08-19 03:22:16 +08,184,26.63,81.27,,,,
2021-08-19 03:23:17 +08,185,26.63,81.36,,,,
2021-08-19 03:24:19 +08,186,26.63,81.35,,,,
2021-08-19 03:25:21 +08,187,26.64,81.33,,,,
2021-08-19 03:26:23 +08,188,26.64,81.32,,,,
2021-08-19 03:27:25 +08,189,26.65,81.24,,,,
2021-08-19 03:28:27 +08,190,26.63,81.29,,,,
2021-08-19 03:29:28 +08,191,26.63,81.27,,,,
2021-08-19 03:30:30 +08,192,26.62,81.34,,,,
2021-08-19 03:31:32 +08,193,26.61,81.38,,,,
2021-08-19 03:32:34 +08,194,26.61,81.29,,,,
2021-08-19 03:33:36 +08,195,26.62,81.23,,,,
2021-08-19 03:34:38 +08,196,26.62,81.32,,,,
2021-08-19 03:35:39 +08,197,26.61,81.35,,,,
2021-08-19 03:36:41 +08,198,26.59,81.42,,,,
2021-08-19 03:37:43 +08,199,26.58,81.35,,,,
2021-08-19 03:38:45 +08,200,26.59,81.38,,,,
2021-08-19 03:39:47 +08,201,26.60,81.32,,,,
2021-08-19 03:40:49 +08,202,26.60,81.34,,,,
2021-08-19 03:41:50 +08,203,26.60,81.28,,,,
2021-08-19 03:42:52 +08,204,26.61,81.27,,,,
2021-08-19 03:43:54 +08,205,26.59,81.37,,,,
2021-08-19 03:44:56 +08,206,26.59,81.31,,,,
2021-08-19 03:45:58 +08,207,26.59,81.35,,,,
2021-08-19 03:47:00 +08,208,26.59,81.37,,,,
2021-08-19 03:48:01 +08,209,26.60,81.26,,,,
2021-08-19 03:49:03 +08,210,26.58,81.36,,,,
2021-08-19 03:50:05 +08,211,26.58,81.36,,,,
2021-08-19 03:51:07 +08,212,26.58,81.33,,,,
2021-08-19 03:52:09 +08,213,26.57,81.42,,,,
2021-08-19 03:53:11 +08,214,26.57,81.40,,,,
2021-08-19 03:54:12 +08,215,26.56,81.40,,,,
2021-08-19 03:55:14 +08,216,26.56,81.39,,,,
2021-08-19 03:56:16 +08,217,26.56,81.46,,,,
2021-08-19 03:57:18 +08,218,26.58,81.35,,,,
2021-08-19 03:58:20 +08,219,26.55,81.52,,,,
2021-08-19 03:59:22 +08,220,26.58,81.33,,,,
2021-08-19 04:00:23 +08,221,26.57,81.40,,,,
2021-08-19 04:01:25 +08,222,26.54,81.55,,,,
2021-08-19 04:02:27 +08,223,26.55,81.49,,,,
2021-08-19 04:03:29 +08,224,26.53,81.59,,,,
2021-08-19 04:04:31 +08,225,26.53,81.57,,,,
2021-08-19 04:05:33 +08,226,26.55,81.54,,,,
2021-08-19 04:06:34 +08,227,26.56,81.52,,,,
2021-08-19 04:07:36 +08,228,26.54,81.48,,,,
2021-08-19 04:08:38 +08,229,26.56,81.45,,,,
2021-08-19 04:09:40 +08,230,26.54,81.49,,,,
2021-08-19 04:10:42 +08,231,26.55,81.41,,,,
2021-08-19 04:11:44 +08,232,26.54,81.47,,,,
2021-08-19 04:12:45 +08,233,26.52,81.53,,,,
2021-08-19 04:13:47 +08,234,26.52,81.60,,,,
2021-08-19 04:14:49 +08,235,26.53,81.52,,,,
2021-08-19 04:15:51 +08,236,26.51,81.58,,,,
2021-08-19 04:16:53 +08,237,26.51,81.67,,,,
2021-08-19 04:17:54 +08,238,26.51,81.60,,,,
2021-08-19 04:18:56 +08,239,26.51,81.58,,,,
2021-08-19 04:19:58 +08,240,26.52,81.54,,,,
2021-08-19 04:21:00 +08,241,26.53,81.55,,,,
2021-08-19 04:22:02 +08,242,26.53,81.51,,,,
2021-08-19 04:23:04 +08,243,26.53,81.60,,,,
2021-08-19 04:24:05 +08,244,26.54,81.50,,,,
2021-08-19 04:25:07 +08,245,26.54,81.46,,,,
2021-08-19 04:26:09 +08,246,26.52,81.54,,,,
2021-08-19 04:27:11 +08,247,26.51,81.54,,,,
2021-08-19 04:28:13 +08,248,26.53,81.55,,,,
2021-08-19 04:29:15 +08,249,26.51,81.64,,,,
2021-08-19 04:30:16 +08,250,26.52,81.49,,,,
2021-08-19 04:31:18 +08,251,26.51,81.61,,,,
2021-08-19 04:32:20 +08,252,26.53,81.55,,,,
